=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 11:18:20 =~=~=~=~=~=~=~=~=~=~=~=
0, 10
273046,
13306, 1134.00, 19.45
13330, 1136.00, 19.48
13353, 1134.00, 19.45
13378, 1136.00, 19.48
13402, 1134.00, 19.45
13425, 1134.00, 19.45
13450, 1136.00, 19.48
13473, 1134.00, 19.45
13498, 1128.00, 19.35
13521, 1136.00, 19.48
13545, 1134.00, 19.45
13570, 1128.00, 19.35
13593, 1136.00, 19.48
13617, 1134.00, 19.45
13641, 1136.00, 19.48
13665, 1134.00, 19.45
13688, 1136.00, 19.48
13713, 1136.00, 19.48
13736, 1136.00, 19.48
13760, 1134.00, 19.45
13785, 1136.00, 19.48
13808, 1137.00, 19.50
13833, 1130.00, 19.38
13856, 1137.00, 19.50
13880, 1136.00, 19.48
13904, 1136.00, 19.48
13928, 1136.00, 19.48
13952, 1133.00, 19.43
13976, 1137.00, 19.50
14000, 1137.00, 19.50
14023, 1137.00, 19.50
14048, 1136.00, 19.48
14071, 1134.00, 19.45
14096, 1131.00, 19.40
14119, 1136.00, 19.48
14143, 1136.00, 19.48
14168, 1128.00, 19.35
14191, 1136.00, 19.48
14215, 1136.00, 19.48
14239, 1134.00, 19.45
14263, 1136.00, 19.48
14286, 1134.00, 19.45
14311, 1134.00, 19.45
14334, 1137.00, 19.50
14358, 1134.00, 19.45
14383, 1137.00, 19.50
14406, 1136.00, 19.48
14431, 1130.00, 19.38
14454, 1134.00, 19.45
14478, 1136.00, 19.48
14502, 1134.00, 19.45
14526, 1134.00, 19.45
14550, 1133.00, 19.43
14574, 1134.00, 19.45
14598, 1136.00, 19.48
14621, 1137.00, 19.50
14646, 1134.00, 19.45
14669, 1137.00, 19.50
14694, 1129.00, 19.36
14717, 1134.00, 19.45
14741, 1136.00, 19.48
14766, 1128.00, 19.35
14789, 1136.00, 19.48
14813, 1134.00, 19.45
14837, 1134.00, 19.45
14861, 1136.00, 19.48
14884, 1134.00, 19.45
14909, 1133.00, 19.43
14932, 1137.00, 19.50
14956, 1134.00, 19.45
14981, 1136.00, 19.48
15004, 1134.00, 19.45
15029, 1128.00, 19.35
15052, 1134.00, 19.45
15076, 1137.00, 19.50
15100, 1128.00, 19.35
15124, 1134.00, 19.45
15148, 1133.00, 19.43
15172, 1136.00, 19.48
15196, 1134.00, 19.45
15219, 1136.00, 19.48
15244, 1136.00, 19.48
15267, 1136.00, 19.48
15291, 1133.00, 19.43
15315, 1133.00, 19.43
15339, 1134.00, 19.45
15364, 1130.00, 19.38
15387, 1134.00, 19.45
15411, 1136.00, 19.48
15435, 1134.00, 19.45
15459, 1136.00, 19.48
15482, 1134.00, 19.45
15507, 1133.00, 19.43
15531, 1136.00, 19.48
15554, 1133.00, 19.43
15579, 1136.00, 19.48
15602, 1134.00, 19.45
15627, 1130.00, 19.38
15650, 1136.00, 19.48
15674, 1136.00, 19.48
15698, 1130.00, 19.38
15722, 1134.00, 19.45
15746, 1136.00, 19.48
15770, 1134.00, 19.45
15794, 1136.00, 19.48
15817, 1134.00, 19.45
15842, 1133.00, 19.43
15865, 1133.00, 19.43
15889, 1134.00, 19.45
15913, 1136.00, 19.48
15937, 1133.00, 19.43
15962, 1128.00, 19.35
15985, 1134.00, 19.45
16009, 1136.00, 19.48
16033, 1136.00, 19.48
16057, 1136.00, 19.48
16080, 1133.00, 19.43
16105, 1133.00, 19.43
16129, 1135.00, 19.47
16152, 1136.00, 19.48
16177, 1136.00, 19.48
16200, 1136.00, 19.48
16225, 1131.00, 19.40
16248, 1133.00, 19.43
16272, 1136.00, 19.48
16296, 1130.00, 19.38
16320, 1136.00, 19.48
16344, 1136.00, 19.48
16368, 1134.00, 19.45
16392, 1133.00, 19.43
16415, 1136.00, 19.48
16440, 1135.00, 19.47
16463, 1136.00, 19.48
16487, 1137.00, 19.50
16512, 1133.00, 19.43
16535, 1133.00, 19.43
16560, 1128.00, 19.35
16583, 1133.00, 19.43
16607, 1136.00, 19.48
16631, 1127.00, 19.33
16655, 1136.00, 19.48
16678, 1136.00, 19.48
16703, 1135.00, 19.47
16727, 1134.00, 19.45
16750, 1136.00, 19.48
16775, 1136.00, 19.48
16798, 1136.00, 19.48
16822, 1136.00, 19.48
16846, 1134.00, 19.45
16870, 1134.00, 19.45
16894, 1129.00, 19.36
16918, 1134.00, 19.45
16942, 1136.00, 19.48
16966, 1136.00, 19.48
16990, 1134.00, 19.45
17013, 1136.00, 19.48
17038, 1133.00, 19.43
17061, 1136.00, 19.48
17085, 1134.00, 19.45
17110, 1133.00, 19.43
17133, 1134.00, 19.45
17158, 1130.00, 19.38
17181, 1134.00, 19.45
17205, 1136.00, 19.48
17229, 1128.00, 19.35
17253, 1134.00, 19.45
17276, 1136.00, 19.48
17301, 1136.00, 19.48
17325, 1136.00, 19.48
17348, 1136.00, 19.48
17373, 1134.00, 19.45
17396, 1134.00, 19.45
17420, 1133.00, 19.43
17444, 1136.00, 19.48
17468, 1133.00, 19.43
17492, 1130.00, 19.38
17516, 1134.00, 19.45
17540, 1136.00, 19.48
17564, 1134.00, 19.45
17588, 1133.00, 19.43
17611, 1134.00, 19.45
17636, 1134.00, 19.45
17659, 1134.00, 19.45
17683, 1136.00, 19.48
17708, 1136.00, 19.48
17731, 1134.00, 19.45
17756, 1130.00, 19.38
17779, 1136.00, 19.48
17803, 1133.00, 19.43
17827, 1128.00, 19.35
17851, 1136.00, 19.48
17874, 1136.00, 19.48
17899, 1136.00, 19.48
17923, 1136.00, 19.48
17946, 1136.00, 19.48
17971, 1136.00, 19.48
17994, 1136.00, 19.48
18018, 1136.00, 19.48
18042, 1134.00, 19.45
18066, 1136.00, 19.48
18091, 1127.00, 19.33
18114, 1136.00, 19.48
18138, 1135.00, 19.47
18162, 1127.00, 19.33
18186, 1134.00, 19.45
18209, 1133.00, 19.43
18234, 1136.00, 19.48
18257, 1136.00, 19.48
18281, 1136.00, 19.48
18306, 1134.00, 19.45
18329, 1133.00, 19.43
18353, 1136.00, 19.48
18377, 1133.00, 19.43
18401, 1136.00, 19.48
18425, 1127.00, 19.33
18449, 1133.00, 19.43
18472, 1136.00, 19.48
18497, 1133.00, 19.43
18521, 1136.00, 19.48
18544, 1133.00, 19.43
18569, 1134.00, 19.45
18592, 1136.00, 19.48
18616, 1136.00, 19.48
18640, 1136.00, 19.48
18664, 1134.00, 19.45
18689, 1128.00, 19.35
18712, 1134.00, 19.45
18736, 1136.00, 19.48
18760, 1130.00, 19.38
18784, 1133.00, 19.43
18807, 1136.00, 19.48
18832, 1134.00, 19.45
18855, 1133.00, 19.43
18879, 1133.00, 19.43
18904, 1134.00, 19.45
18927, 1136.00, 19.48
18951, 1134.00, 19.45
18975, 1134.00, 19.45
18999, 1134.00, 19.45
19023, 1130.00, 19.38
19047, 1133.00, 19.43
19070, 1136.00, 19.48
19095, 1136.00, 19.48
19119, 1136.00, 19.48
19142, 1133.00, 19.43
19167, 1134.00, 19.45
19190, 1134.00, 19.45
19214, 1134.00, 19.45
19238, 1134.00, 19.45
19262, 1134.00, 19.45
19287, 1130.00, 19.38
19310, 1136.00, 19.48
19334, 1136.00, 19.48
19358, 1127.00, 19.33
19382, 1136.00, 19.48
19405, 1133.00, 19.43
19430, 1133.00, 19.43
19453, 1136.00, 19.48
19477, 1134.00, 19.45
19502, 1136.00, 19.48
19525, 1133.00, 19.43
19549, 1136.00, 19.48
19573, 1133.00, 19.43
19597, 1136.00, 19.48
19621, 1130.00, 19.38
19645, 1136.00, 19.48
